Product Number,Description,Interior Style Recommendation,Application Recommendations
MW612316J,"Fragrance reads as a warm oat-toned timber with a soft, comforting atmosphere, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
GF12601,"Wood Impression Collection reads as a pale honey oak plank look with light natural grain, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Scandinavian; Japandi; casual contemporary,"Bedroom floor, living room floor, wall cladding, wardrobe area"
GF12602,"Wood Impression Collection reads as a blonde maple-like plank with a clean, bright timber character, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; family contemporary; soft minimalism,"Bedroom, living room, kids room, retail floor"
GF12622,"Wood Impression Collection reads as a medium walnut plank look with stronger grain and a more tailored warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Modern classic; warm contemporary; hotel-inspired,"Living room, study, dining area, feature wall"
GF12623,"Wood Impression Collection reads as a taupe oak plank look balancing warm and cool undertones, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Quiet luxury; transitional; urban contemporary,"Living room, bedroom, office, wardrobe"
GF12628,"Wood Impression Collection reads as a smoked walnut timber look with richer grain and depth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Boutique hospitality; masculine contemporary; modern classic,"Study, lounge, bar area wall, statement flooring"
GF12641,"Chevron Wood Collection reads as a pale ash chevron / herringbone wood that brings crafted detail without visual heaviness, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Parisian modern; Japandi luxe; boutique residential,"Feature floor, living room, bedroom, foyer"
GF12646,"Chevron Wood Collection reads as a honey-oak chevron wood that adds rhythm and warmth to open spaces, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Warm contemporary; resort chic; transitional,"Living room, dining area, boutique retail, feature wall"
GF12647,"Chevron Wood Collection reads as a natural oak chevron with balanced tone and easy livability, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Contemporary classic; Scandinavian luxe; warm minimalism,"Living room, bedroom, foyer, wardrobe"
GF12648,"Chevron Wood Collection reads as a greige oak chevron that feels soft, tailored and highly designer-friendly, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Quiet luxury; modern classic; urban contemporary,"Living room, study, bedroom, hospitality lounge"
GF12666R,"Chevron Wood Collection reads as a light honey chevron timber for elegant, crafted flooring with a youthful warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Parisian; boutique hotel; warm contemporary,"Feature floor, bedroom, living room, café/retail"
GF12667R,"Chevron Wood Collection reads as a medium walnut chevron wood with a richer, more grounded mood, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Modern classic; boutique hospitality; warm luxe,"Living room, study, dining area, statement foyer"
GF12668R,"Chevron Wood Collection reads as a blonde oak chevron that keeps the floor bright while adding movement, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Scandinavian luxe; Japandi; soft contemporary,"Bedroom, living room, retail, feature floor"
GF12669R,"Chevron Wood Collection reads as a rich brown chevron timber look that feels tailored, polished and slightly formal, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Transitional luxe; hospitality; modern classic,"Study, lounge, dining room, statement floor"
GF12692,"Chevron Wood Collection reads as a warm natural oak chevron with an approachable, residential warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Warm modern; Scandinavian; family contemporary,"Living room, bedroom, foyer, wall accents"
GF12693,"Chevron Wood Collection reads as a pale oat-toned chevron wood that softens interiors and reflects light beautifully, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; resort contemporary; soft minimalism,"Bedroom, living room, wardrobe, boutique retail"
GF71562R,"Chevron Wood Collection reads as a smoked walnut chevron in a longer plank format for more expansive room proportions, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Boutique hotel; modern classic; masculine contemporary,"Large living room, corridor, statement floor, retail"
GF71566R,"Chevron Wood Collection reads as a natural oak chevron in an elongated format that brings gentle movement, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Warm contemporary; transitional; Scandinavian luxe,"Living room, dining room, bedroom, foyer"
GF71568R,"Chevron Wood Collection reads as a light oak chevron with a soft golden undertone for warm yet airy interiors, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; resort chic; family contemporary,"Bedroom, living room, wardrobe, café/retail"
GY12605,"True Wood Collection reads as a pale blonde oak plank that feels calm, airy and easy to pair with warm whites, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Scandinavian; Japandi; soft modern,"Living room, bedroom, study, wall cladding"
GY12606,"True Wood Collection reads as a honey maple-like timber with gentle warmth and a clean residential feel, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Warm contemporary; family-friendly modern; resort casual,"Living room, bedroom, dining area"
GY12607,"True Wood Collection reads as an amber teak tone with deeper warmth for more layered, expressive interiors, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Modern tropical; hospitality; warm luxe,"Dining area, lounge, bedroom, retail floor"
GY12608,"True Wood Collection reads as a medium walnut look with visible grain and a slightly richer visual weight, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Transitional; boutique hotel; urban warm modern,"Living room, study, feature wall"
GY12609,"True Wood Collection reads as a pale ash-oak plank that gives spaces a fresh, serene base, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; Scandinavian; wellness interiors,"Bedroom, living room, yoga/wellness spaces"
GY12610,"True Wood Collection reads as a natural oak timber tone that feels timeless and broadly versatile, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Warm contemporary; modern farmhouse; quiet luxury casual,"Living room, dining, bedroom, study"
GY12611,"True Wood Collection reads as a washed-oak / driftwood tone for softer, more muted interiors, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Coastal contemporary; wabi-sabi; soft minimalism,"Bedroom, spa area, living room, wall accents"
GY12613,"True Wood Collection reads as a golden oak plank with friendly warmth and everyday livability, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Family contemporary; resort casual; Scandinavian warm,"Living room, bedroom, retail flooring"
GY12691,"Chevron Wood Collection reads as a honey-oak chevron that introduces pattern in a subtle, lifestyle-friendly way, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Parisian casual; boutique residential; warm modern,"Feature floor, living room, bedroom, foyer"
71551,"Natural Wood Collection reads as a light blonde wood look with a clean Scandinavian softness, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Scandinavian; Japandi; family-friendly contemporary,"Bedroom floor, living room floor, walk-in wardrobe, feature wall"
71552,"Natural Wood Collection reads as a pale ivory-oak wood tone that keeps interiors bright and relaxed, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; Korean minimalism; soft modern,"Bedroom, nursery, living room, wardrobe area, study"
71553,"Natural Wood Collection reads as a warm natural oak surface with easy residential warmth and balanced grain detail, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Contemporary; modern farmhouse; resort casual,"Living room, dining area, bedroom, retail flooring"
71557,"Natural Wood Collection reads as a darker smoked walnut / chevron-like wood look for more tailored and moody interiors, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Transitional luxe; boutique hotel; modern classic,"Feature floor, lounge, study, boutique retail, statement bedroom"
71558,"Natural Wood Collection reads as a richer reddish walnut timber look that adds depth and a more classic warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Modern classic; warm contemporary; hospitality-inspired,"Living room, dining room, study, feature wall"
RV12601HP,"Wood Print Series reads as a pale maple / birch timber look that keeps rooms bright and effortless, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Scandinavian; family contemporary; Japandi,"Living room, bedroom, dining, wardrobe"
RV12602HP,"Wood Print Series reads as a beige oak wood tone with slightly more warmth and a natural residential feel, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Warm contemporary; resort casual; modern farmhouse,"Living room, bedroom, study"
RV12603,"Wood Print Series reads as a rustic chestnut wood with stronger tonal variation for a lived-in, characterful floor, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Industrial warm; lodge contemporary; retail/hospitality,"Dining room, lounge, café, study"
RV12604HP,"Wood Print Series reads as a washed greige oak timber that works beautifully in softer neutral schemes, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Quiet luxury casual; coastal contemporary; wabi-sabi,"Bedroom, living room, wall accents, wellness spaces"
RV12606HP,"Wood Print Series reads as a charcoal smoked wood that gives interiors a more tailored, intimate atmosphere, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Boutique hotel; modern masculine; lounge-driven interiors,"Study, lounge, feature wall, retail floor"
D12621,"True Travertine Series offers a warm rice-beige travertine with vertical texture for spa-like, tonal bathrooms. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Spa contemporary; warm minimalism; wellness interiors,"Bathroom wall, shower wall, vanity backdrop, powder room"
D12622,"True Travertine Series offers a richer beige travertine with more warmth and a slightly sun-washed feel. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Modern Mediterranean; spa luxury; resort interiors,"Bathroom wall, powder room wall, feature niche, vanity wall"
D12623,"True Travertine Series offers a rice-white travertine look for bright, serene and softly layered wet zones. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Minimal spa; Japandi; quiet luxury,"Bathroom wall, shower wall, vanity backdrop, wellness rooms"
D12720,"True Travertine Series offers a pale grey travertine texture that gives bathrooms a tailored, contemporary mood. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Contemporary spa; masculine modern; urban minimalism,"Bathroom wall, shower wall, powder room, commercial washroom"
F12621,"Re-carved Travertine Series offers a creamy white travertine with carved depth and a gently artisanal finish. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Spa contemporary; warm minimalist; Mediterranean modern,"Bathroom wall, shower wall, vanity wall, powder room"
F12622,"Re-carved Travertine Series offers a warm beige travertine with more texture and layered natural character. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Resort contemporary; warm luxury; modern Mediterranean,"Bathroom wall, shower wall, feature niche, wellness spaces"
Y61231,"Milky White presents a milky white travertine-look wall and floor surface with vertical texture and a spa-like calm. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Spa contemporary; warm minimalism; wellness interiors,"Bathroom wall, vanity backdrop, shower wall, calm bedroom wall"
Y61233,"Grey Travertine presents a soft grey travertine-look surface with gentle vertical movement and a tailored bathroom aesthetic. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern spa; masculine contemporary; boutique hotel,"Bathroom wall, shower wall, vanity wall, powder room"
YB918621,"Roman offers a warm yellow-beige travertine scaled for larger spaces, creating a sunlit, resort-inspired envelope. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Mediterranean modern; resort luxury; warm contemporary,"Living room floor, hospitality lounge, bathroom wall, foyer"
L61231,,,
Y71531,,,
Y91831,,,
F71521,,,
F91821,,,
F71522,,,
F91822,,,
KD612509,"Refined Terrazzo Collection delivers a pale aggregate terrazzo with visible chips for a more playful, crafted surface. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Creative contemporary; boutique retail; hospitality,"Bathroom floor, powder room, commercial floor, kitchen wall"
KD612206,"Refined Terrazzo Collection delivers a fine-grain Italian grey terrazzo with a clean, architectural salt-and-pepper look. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Contemporary; commercial chic; minimalist bathrooms,"Bathroom floor, feature wall, café floor, utility area, retail"
KNB612102,"Refined Terrazzo Collection delivers a white terrazzo with peppered black chips that feels crisp, playful and design-led. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Playful minimalism; café chic; family contemporary,"Bathroom wall/floor, pantry, laundry, niche cladding"
KNB612105,"Refined Terrazzo Collection delivers a blush terrazzo with multicolour chips for a softer, more curated statement. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Boutique retail; playful hospitality; kids / powder rooms,"Powder room, vanity wall, feature niche, café floor"
KNB612108,"Refined Terrazzo Collection delivers an off-white terrazzo with warm beige flecks for a softer neutral expression. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Soft contemporary; spa casual; family-friendly design,"Bathroom floor, utility room, kitchen floor, wall accents"
KP612099,"Refined Terrazzo Collection delivers a mint-toned terrazzo with green and charcoal aggregate that feels fresh and editorial. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Creative interiors; retro-modern; hospitality,"Feature wall, café, powder room, retail display area"
KP612100,"Refined Terrazzo Collection delivers a micro-speckled light grey terrazzo that reads clean and quietly sophisticated. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Minimalist; urban contemporary; practical modern,"Bathroom floor, kitchen floor, utility room, wall cladding"
KP612225,"Refined Terrazzo Collection delivers an off-white terrazzo with fine scattered speckles for understated texture. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Quiet contemporary; soft modern; spa casual,"Bathroom wall/floor, powder room, pantry, niche detail"
KWD126006,"Refined Terrazzo Collection delivers a warm ivory micro-speckled surface that works as a near-plain tile but with more designer depth. The overall look feels playful yet controlled, making it a strong choice when you want texture and visual interest without the heaviness of bold marble.",Minimalist; Japandi; commercial soft modern,"Bathroom wall, floor, living utility zones, pantry, feature backdrop"
HP01,"Crystal Pattern Collection features a black-on-white floral scroll motif with strong vintage character and a graphic edge. It works best as a design accent, adding rhythm, personality and a more curated boutique feel to smaller zones.",Mediterranean; Parisian café; eclectic heritage,"Powder room floor, bathroom floor, café floor, feature backsplash"
HP04,"Crystal Pattern Collection features a petite four-petal black motif that feels crisp, symmetrical and easy to repeat. It works best as a design accent, adding rhythm, personality and a more curated boutique feel to smaller zones.",Transitional; Parisian; modern classic,"Powder room, mudroom, kitchen floor, feature wall"
HP05,"Crystal Pattern Collection features a simple geometric corner-dot motif for a cleaner, more restrained patterned floor. It works best as a design accent, adding rhythm, personality and a more curated boutique feel to smaller zones.",Minimal heritage; monochrome contemporary; boutique retail,"Bathroom floor, pantry, laundry, café floor"
HP09,"Crystal Pattern Collection features a retro sage-and-white clover pattern that softens bathrooms and adds playful personality. It works best as a design accent, adding rhythm, personality and a more curated boutique feel to smaller zones.",Vintage modern; retro chic; family contemporary,"Bathroom floor, powder room, kids bath, feature wall"
HP81,"Crystal Pattern Collection features a petal medallion motif framed with a dark border, giving the surface a more classic ornamental feel. It works best as a design accent, adding rhythm, personality and a more curated boutique feel to smaller zones.",Heritage modern; colonial-inspired; statement eclectic,"Entry accent, powder room floor, decorative inset, café floor"
HP82,"Crystal Pattern Collection features a starburst motif with a dark frame for a more dramatic, old-world decorative statement. It works best as a design accent, adding rhythm, personality and a more curated boutique feel to smaller zones.",Artisanal heritage; boutique hospitality; eclectic luxe,"Powder room, feature inset, bathroom floor, niche accent"
